evidence,handicap,komi,w_id,w_mu,w_cat,l_id,l_mu,l_cat
0.3974209125567405,0,6.5,48,2.5,1d,7,2.83309,2d
0.9999632149267205,0,6.5,32,3.24156,3d,52,-4.5,4k
0.951371932747425,0,6.5,19,-4.82499,3k,55,-8.5,8k
0.8666838717697221,0,6.5,15,-3.81064,3k,18,-5.22313,4k
0.5106061099894872,0,6.5,17,-4.8868,4k,20,-5.018,4k
0.9994648727081081,0,6.5,8,1.83373,2d,14,-2.68403,3k
0.8908643186471626,0,6.5,9,2.89149,2d,34,1.10618,1d
0.41477051903114204,0,6.5,19,-4.82499,3k,52,-4.5,4k
0.9972231984632544,0,6.5,45,2.5,2d,50,-2.89415,2k
0.9973599951010029,0,6.5,35,-4.13008,4k,30,-8.848,7k
0.36662364323426705,0,6.5,25,-9.3464,9k,30,-8.848,7k
0.648782971342491,0,6.5,32,3.24156,3d,47,2.5,2d
0.5734694567076616,0,6.5,9,2.89149,2d,48,2.5,1d
0.5551801688003916,0,6.5,55,-8.5,8k,27,-8.88737,10k
0.5677233081929802,0,6.5,15,-3.81064,3k,35,-4.13008,4k
0.9999534570308456,0,6.5,8,1.83373,2d,16,-3.95577,3k
0.9999900077342436,0,6.5,45,2.5,2d,19,-4.82499,3k
0.984035644515938,0,6.5,18,-5.22313,4k,23,-8.26159,7k
0.43901665505614385,0,6.5,14,-2.68403,3k,51,-2.5,2k
0.9930679377871612,0,6.5,42,7.5,7d,6,3.60601,3d
0.41477051903114204,0,6.5,19,-4.82499,3k,53,-4.5,4k
0.4322345284254111,0,6.5,16,-3.95577,3k,15,-3.81064,3k
0.6280088217367351,0,6.5,22,-7.50167,7k,23,-8.26159,7k
0.21972403183715347,0,6.5,35,-4.13008,4k,50,-2.89415,2k
0.3270904640653575,0,6.5,8,1.83373,2d,45,2.5,2d
0.9401302228887254,0,6.5,52,-4.5,4k,55,-8.5,8k
0.7697174746771668,0,6.5,51,-2.5,2k,16,-3.95577,3k
0.9994237572976452,0,6.5,47,2.5,2d,53,-4.5,4k
0.9999870244110789,0,6.5,32,3.24156,3d,14,-2.68403,3k
0.8864838878868659,0,6.5,20,-5.018,4k,22,-7.50167,7k
0.7704170384628914,0,6.5,35,-4.13008,4k,18,-5.22313,4k
0.9994031110236943,0,6.5,15,-3.81064,3k,30,-8.848,7k
0.9999565615213049,0,6.5,8,1.83373,2d,21,-4.5794,5k
0.6327937066640451,0,6.5,55,-8.5,8k,25,-9.3464,9k
0.9982860737574999,0,6.5,42,7.5,7d,9,2.89149,2d
0.8742793368564689,0,6.5,14,-2.68403,3k,21,-4.5794,5k
0.9999964086947624,0,6.5,47,2.5,2d,20,-5.018,4k
0.9990001137140597,0,6.5,32,3.24156,3d,51,-2.5,2k
0.007555935569220851,0,6.5,30,-8.848,7k,18,-5.22313,4k
0.7325313500141519,0,6.5,6,3.60601,3d,48,2.5,1d
0.6423328881649188,0,6.5,23,-8.26159,7k,27,-8.88737,10k
0.9978054489264369,0,6.5,20,-5.018,4k,25,-9.3464,9k
0.6890707610412303,0,6.5,16,-3.95577,3k,17,-4.8868,4k
0.9999364200011296,0,6.5,47,2.5,2d,17,-4.8868,4k
0.9986789027403942,0,6.5,7,2.83309,2d,51,-2.5,2k
0.00011844189222540456,0,6.5,50,-2.89415,2k,32,3.24156,3d
0.9596431936681622,0,6.5,6,3.60601,3d,34,1.10618,1d
0.9436024482232492,0,6.5,50,-2.89415,2k,54,-6.5,6k
0.990718817785564,0,6.5,17,-4.8868,4k,27,-8.88737,10k
0.9999982872194131,0,6.5,48,2.5,1d,55,-8.5,8k
0.9999999595214506,0,6.5,49,1.5,1d,30,-8.848,7k
0.11133233924675302,0,6.5,22,-7.50167,7k,18,-5.22313,4k
0.8909589483284921,0,6.5,51,-2.5,2k,19,-4.82499,3k
0.9992484017293327,0,6.5,15,-3.81064,3k,23,-8.26159,7k
0.9999861850648852,0,6.5,9,2.89149,2d,13,-4.0449,4k
0.9999220780873224,0,6.5,47,2.5,2d,35,-4.13008,4k
8.226852143308903e-05,0,6.5,16,-3.95577,3k,46,2.5,2d
0.19355688534682794,0,6.5,34,1.10618,1d,45,2.5,2d
0.999999656125789,0,6.5,8,1.83373,2d,20,-5.018,4k
0.9999999850327865,0,6.5,7,2.83309,2d,19,-4.82499,3k
0.9999632149267205,0,6.5,32,3.24156,3d,53,-4.5,4k
0.9999990580841266,0,6.5,6,3.60601,3d,14,-2.68403,3k
0.46778223783452444,0,6.5,21,-4.5794,5k,52,-4.5,4k
0.9999907477879312,0,6.5,8,1.83373,2d,15,-3.81064,3k
0.9998097128422997,0,6.5,51,-2.5,2k,25,-9.3464,9k
0.9999990956758296,0,6.5,9,2.89149,2d,17,-4.8868,4k
0.7806460398317209,0,6.5,14,-2.68403,3k,13,-4.0449,4k
0.9999990238542306,0,6.5,46,2.5,2d,18,-5.22313,4k
0.025714584655408036,0,6.5,22,-7.50167,7k,15,-3.81064,3k
0.49835218511313534,0,6.5,53,-4.5,4k,21,-4.5794,5k
0.3138910686517225,0,6.5,45,2.5,2d,32,3.24156,3d
0.9978492786465613,0,6.5,34,1.10618,1d,52,-4.5,4k
