evidence,handicap,komi,w_id,w_mu,w_cat,l_id,l_mu,l_cat
0.19356026351937966,0,6.5,34,1.1062,1d,45,2.5,2d
8.226472701391422e-05,0,6.5,16,-3.95579,3k,46,2.5,2d
0.9999220820057635,0,6.5,47,2.5,2d,35,-4.1301,4k
0.9999861791695724,0,6.5,9,2.8915,2d,13,-4.04479,4k
0.46765830842471484,0,6.5,21,-4.58005,5k,52,-4.5,4k
0.9992476958960317,0,6.5,15,-3.81075,3k,23,-8.26139,7k
0.11133325161852389,0,6.5,22,-7.50167,7k,18,-5.22315,4k
0.999999959461394,0,6.5,49,1.5,1d,30,-8.84746,7k
0.9999982872194131,0,6.5,48,2.5,1d,55,-8.5,8k
0.9998094010972497,0,6.5,51,-2.5,2k,25,-9.34566,9k
0.9907156595056101,0,6.5,17,-4.88684,4k,27,-8.88716,10k
0.9436052048466279,0,6.5,50,-2.89412,2k,54,-6.5,6k
0.9596448621029626,0,6.5,6,3.60605,3d,34,1.1062,1d
0.00011842601058520586,0,6.5,50,-2.89412,2k,32,3.24158,3d
0.9986788814201057,0,6.5,7,2.83309,2d,51,-2.5,2k
0.9999907522831705,0,6.5,8,1.83378,2d,15,-3.81075,3k
8.226472701391422e-05,0,6.5,16,-3.95579,3k,47,2.5,2d
0.9999990961747713,0,6.5,9,2.8915,2d,17,-4.88684,4k
0.9999102680596684,0,6.5,48,2.5,1d,21,-4.58005,5k
0.9999644268061438,0,6.5,49,1.5,1d,22,-7.50167,7k
0.9999220820057635,0,6.5,45,2.5,2d,35,-4.1301,4k
0.9999964097574402,0,6.5,46,2.5,2d,20,-5.0181,4k
0.9880554673542263,0,6.5,19,-4.82483,3k,23,-8.26139,7k
0.9999422229314584,0,6.5,14,-2.68411,3k,30,-8.84746,7k
0.9363629204469758,0,6.5,18,-5.22315,4k,55,-8.5,8k
0.9913310869362166,0,6.5,52,-4.5,4k,25,-9.34566,9k
0.997617758623699,0,6.5,13,-4.04479,4k,27,-8.88716,10k
0.8949373547267638,0,6.5,6,3.60605,3d,8,1.83378,2d
0.9997863436092027,0,6.5,7,2.83309,2d,50,-2.89412,2k
0.7817076638261901,0,6.5,9,2.8915,2d,49,1.5,1d
0.9998776556930214,0,6.5,48,2.5,1d,16,-3.95579,3k
0.9978493375731305,0,6.5,34,1.1062,1d,52,-4.5,4k
0.3138870477425393,0,6.5,45,2.5,2d,32,3.24158,3d
0.49847750066186486,0,6.5,53,-4.5,4k,21,-4.58005,5k
0.025717572883118246,0,6.5,22,-7.50167,7k,15,-3.81075,3k
0.999999023924471,0,6.5,46,2.5,2d,18,-5.22315,4k
0.7806096733956115,0,6.5,14,-2.68411,3k,13,-4.04479,4k
0.9999364374302385,0,6.5,47,2.5,2d,17,-4.88684,4k
0.8909448510457914,0,6.5,51,-2.5,2k,19,-4.82483,3k
0.9978011926045581,0,6.5,20,-5.0181,4k,25,-9.34566,9k
0.997356993749455,0,6.5,35,-4.1301,4k,30,-8.84746,7k
0.44100374025077027,0,6.5,55,-8.5,8k,23,-8.26139,7k
0.8714468774572534,0,6.5,54,-6.5,6k,27,-8.88716,10k
0.686682841256823,0,6.5,6,3.60605,3d,9,2.8915,2d
0.3974211025387707,0,6.5,48,2.5,1d,7,2.83309,2d
0.3731151528663146,0,6.5,53,-4.5,4k,16,-3.95579,3k
0.9999862463071874,0,6.5,34,1.1062,1d,22,-7.50167,7k
0.5602292758911674,0,6.5,51,-2.5,2k,50,-2.89412,2k
0.999465032367248,0,6.5,8,1.83378,2d,14,-2.68411,3k
0.28943454857793466,0,6.5,49,1.5,1d,47,2.5,2d
0.4818197506725597,0,6.5,45,2.5,2d,46,2.5,2d
0.9999632161734154,0,6.5,32,3.24158,3d,52,-4.5,4k
0.9513806047715853,0,6.5,19,-4.82483,3k,55,-8.5,8k
0.8666673633174092,0,6.5,15,-3.81075,3k,18,-5.22315,4k
0.5106210034768301,0,6.5,17,-4.88684,4k,20,-5.0181,4k
0.45998638887698706,0,6.5,35,-4.1301,4k,13,-4.04479,4k
0.4881061506235015,0,6.5,30,-8.84746,7k,27,-8.88716,10k
0.7350143888371181,0,6.5,23,-8.26139,7k,25,-9.34566,9k
0.7325399287053584,0,6.5,6,3.60605,3d,48,2.5,1d
0.9999549267307924,0,6.5,7,2.83309,2d,53,-4.5,4k
0.9726138155530417,0,6.5,34,1.1062,1d,51,-2.5,2k
0.5734493363335117,0,6.5,9,2.8915,2d,45,2.5,2d
0.40309560774694075,0,6.5,49,1.5,1d,8,1.83378,2d
0.6890775163110832,0,6.5,16,-3.95579,3k,17,-4.88684,4k
0.6995268547542739,0,6.5,50,-2.89412,2k,15,-3.81075,3k
0.8320419899833928,0,6.5,14,-2.68411,3k,35,-4.1301,4k
0.9999900057620315,0,6.5,47,2.5,2d,19,-4.82483,3k
0.9049276756340465,0,6.5,21,-4.58005,5k,22,-7.50167,7k
0.9444046049218661,0,6.5,20,-5.0181,4k,55,-8.5,8k
0.9695630250881124,0,6.5,52,-4.5,4k,23,-8.26139,7k
0.9969000696609568,0,6.5,18,-5.22315,4k,27,-8.88716,10k
0.9943398827078541,0,6.5,13,-4.04479,4k,30,-8.84746,7k
0.8855321413192228,0,6.5,6,3.60605,3d,49,1.5,1d
0.3974211025387707,0,6.5,48,2.5,1d,7,2.83309,2d
0.8908627015602304,0,6.5,9,2.8915,2d,34,1.1062,1d
0.9999566052164817,0,6.5,8,1.83378,2d,21,-4.58005,5k
0.9972232807313388,0,6.5,45,2.5,2d,50,-2.89412,2k
0.7697207531794396,0,6.5,51,-2.5,2k,16,-3.95579,3k
0.9994237572976452,0,6.5,47,2.5,2d,53,-4.5,4k
0.9999870278631368,0,6.5,32,3.24158,3d,14,-2.68411,3k
0.8864752235823457,0,6.5,20,-5.0181,4k,22,-7.50167,7k
0.7704172737392143,0,6.5,35,-4.1301,4k,18,-5.22315,4k
0.4148022630506614,0,6.5,19,-4.82483,3k,52,-4.5,4k
0.9994021214666593,0,6.5,15,-3.81075,3k,30,-8.84746,7k
0.6326679496041275,0,6.5,55,-8.5,8k,25,-9.34566,9k
0.6423277858263544,0,6.5,23,-8.26139,7k,27,-8.88716,10k
0.99828603808627,0,6.5,42,7.5,7d,9,2.8915,2d
0.8743419407960092,0,6.5,14,-2.68411,3k,21,-4.58005,5k
0.9999964097574402,0,6.5,47,2.5,2d,20,-5.0181,4k
0.9990001438760842,0,6.5,32,3.24158,3d,51,-2.5,2k
0.007564224478154903,0,6.5,30,-8.84746,7k,18,-5.22315,4k
0.7325399287053584,0,6.5,6,3.60605,3d,48,2.5,1d
0.9401302228887254,0,6.5,52,-4.5,4k,55,-8.5,8k
0.3271013642061021,0,6.5,8,1.83378,2d,45,2.5,2d
0.2197127252507582,0,6.5,35,-4.1301,4k,50,-2.89412,2k
0.6279717821173815,0,6.5,22,-7.50167,7k,23,-8.26139,7k
0.43226053990359775,0,6.5,16,-3.95579,3k,15,-3.81075,3k
0.4148022630506614,0,6.5,19,-4.82483,3k,53,-4.5,4k
0.9930675837881715,0,6.5,42,7.5,7d,6,3.60605,3d
0.4389989213634774,0,6.5,14,-2.68411,3k,51,-2.5,2k
0.9840281630362355,0,6.5,18,-5.22315,4k,23,-8.26139,7k
0.9999900057620315,0,6.5,45,2.5,2d,19,-4.82483,3k
0.9999534651302838,0,6.5,8,1.83378,2d,16,-3.95579,3k
0.5676971610360376,0,6.5,15,-3.81075,3k,35,-4.1301,4k
0.555141528750099,0,6.5,55,-8.5,8k,27,-8.88716,10k
0.5734718495768169,0,6.5,9,2.8915,2d,48,2.5,1d
0.6487872033328536,0,6.5,32,3.24158,3d,47,2.5,2d
0.36667057951570275,0,6.5,25,-9.34566,9k,30,-8.84746,7k
0.5936921283024538,0,6.5,32,3.24158,2d,7,2.83309,2d
0.9999992342562141,0,6.5,32,1.76507,2d,24,-8.5,8k
0.821916684205669,0,6.5,9,3.11103,2d,11,1.5,1d
0.9999999106579593,0,6.5,9,3.11103,2d,13,-4.52617,4k
0.9999642057454824,0,6.5,13,-4.52617,4k,56,-15.5,15k
0.9589539683399816,0,6.5,13,-4.52617,4k,24,-8.5,8k
0.7250879928246489,0,6.5,7,2.5717,2d,11,1.5,1d
0.9999999905763244,0,6.5,11,1.5,1d,56,-15.5,15k
0.12562619826638832,0,6.5,32,1.76507,2d,9,3.11103,2d
0.0007124056654394676,4,0.5,27,-9.10733,9k,18,-5.60761,5k
0.725513749337046,2,0.5,15,-3.89512,3k,18,-5.60761,5k
0.9999985007260563,4,0.5,13,-4.52575,4k,26,-14.0601,12k
