,player,day,mean,variance,intra
0,c0p0,1,120,301.7787152185823,33
1,c0p1,1,113,1810.6722913114936,33
2,c0p2,1,113,1810.6722913114936,33
3,c1p0,1,-120,301.7787152185823,33
4,c1p1,1,-113,1810.6722913114936,33
5,c1p2,1,-113,1810.6722913114936,33
0,c0p0,1,120,301.7787152185823,34
1,c0p1,1,114,1810.6722913114936,34
2,c0p2,1,114,1810.6722913114936,34
3,c1p0,1,-120,301.7787152185823,34
4,c1p1,1,-113,1810.6722913114936,34
5,c1p2,1,-113,1810.6722913114936,34
0,c0p0,1,120,301.7787152185823,35
1,c0p1,1,114,1810.6722913114936,35
2,c0p2,1,114,1810.6722913114936,35
3,c1p0,1,-120,301.7787152185823,35
4,c1p1,1,-114,1810.6722913114936,35
5,c1p2,1,-114,1810.6722913114936,35
0,c0p0,1,120,301.7787152185823,36
1,c0p1,1,114,1508.8935760929116,36
2,c0p2,1,114,1508.8935760929116,36
3,c1p0,1,-120,301.7787152185823,36
4,c1p1,1,-114,1508.8935760929116,36
5,c1p2,1,-114,1508.8935760929116,36
0,c0p0,1,120,301.7787152185823,37
1,c0p1,1,114,1508.8935760929116,37
2,c0p2,1,114,1508.8935760929116,37
3,c1p0,1,-120,301.7787152185823,37
4,c1p1,1,-114,1508.8935760929116,37
5,c1p2,1,-114,1508.8935760929116,37
0,c0p0,1,120,301.7787152185823,38
1,c0p1,1,114,1508.8935760929116,38
2,c0p2,1,114,1508.8935760929116,38
3,c1p0,1,-120,301.7787152185823,38
4,c1p1,1,-114,1508.8935760929116,38
5,c1p2,1,-114,1508.8935760929116,38
0,c0p0,1,120,301.7787152185823,39
1,c0p1,1,114,1508.8935760929116,39
2,c0p2,1,114,1508.8935760929116,39
3,c1p0,1,-120,301.7787152185823,39
4,c1p1,1,-114,1508.8935760929116,39
5,c1p2,1,-114,1508.8935760929116,39
0,c0p0,1,120,301.7787152185823,40
1,c0p1,1,114,1508.8935760929116,40
2,c0p2,1,114,1508.8935760929116,40
3,c1p0,1,-120,301.7787152185823,40
4,c1p1,1,-114,1508.8935760929116,40
5,c1p2,1,-114,1508.8935760929116,40
