,repetitions,ecm_sqrt,log_probability
47,30,30.297689680898113,-106.55239293951094
48,30,30.890937182286976,-99.84300656501647
49,30,28.635642126552707,-102.59638652620684
50,30,27.26719640887196,-98.04284647219309
51,30,24.596747752497688,-95.34852612486691
52,30,27.410764308935278,-99.05103553476376
53,30,29.493219559756444,-102.02808932248993
54,30,29.049096371488048,-101.92921378455887
55,30,28.488594208911046,-98.73925565083378
56,30,25.657357619209346,-96.94572293064851
57,30,28.6033214854499,-99.84685530297592
58,30,27.84061780923692,-102.30507550006988
59,30,27.338617375427017,-95.78291240260165
60,40,26.60732981717632,-98.53594730561439
61,40,28.035691537752374,-101.35009541206676
62,40,25.30217381965431,-95.35895054722616
63,40,26.68707552355634,-99.07578480568004
64,40,22.737634001804146,-91.81993355848185
65,40,28.316956051101254,-100.6401381182105
66,40,26.37612556839992,-98.85488961382285
67,40,30.059940119700837,-103.77571379761062
68,40,30.657788569953965,-106.22204272264854
69,40,27.70830200499482,-98.3183658000763
70,40,32.12008717298258,-108.332032486303
71,40,30.042469938405528,-100.00420371489244
72,40,28.751521698859698,-102.46929296632554
73,40,28.199290771223307,-102.15946329549446
74,40,31.578473680657844,-108.51979081496967
75,40,30.465554319591824,-106.23169041166634
76,40,25.086849144521917,-96.66951348641005
77,40,28.573589204018457,-102.6374625470173
78,40,23.473389188611005,-93.51186379429569
79,40,24.702226620286684,-95.69582476025005
80,50,25.40373988215121,-96.86058550139579
81,50,28.30459326681802,-102.02330878647412
82,50,26.149569786136063,-98.13469789107013
83,50,24.488772937817853,-95.34788769674991
84,50,25.86696735220424,-97.6475860021699
85,50,26.071056748816304,-97.9988367519891
86,50,24.037470748812154,-94.62219039287818
87,50,24.804233509624925,-95.86316591936202
88,50,23.902928690852928,-94.4084576252995
89,50,23.606143268225754,-93.9412278543136
90,50,26.02883016964074,-97.92593565297003
91,50,27.14682301854123,-99.89592216964465
92,50,24.8112877537624,-95.87476382147871
93,50,26.643948656308435,-98.99957002034189
94,50,23.36557296536937,-93.56678130026107
95,50,25.212100269513446,-96.539157928448
96,50,22.133684736166277,-91.7094601184341
97,50,24.621129137389293,-95.5632773074881
98,50,27.399817517640514,-100.35321088167342
99,50,23.188359148503803,-93.29340217893953
100,60,22.42654676939809,
101,60,26.627992789543864,-98.97140368663
102,60,23.812811677750275,
103,60,22.48221519334783,-92.22473834104622
104,60,25.809881828478023,
105,60,25.178363727613437,
106,60,25.10378457523885,-96.35856202405985
107,60,23.31951972061174,-93.49553704440152
108,60,22.829805080201627,-92.74664393629644
109,60,25.46075411294803,
110,60,25.642737763351246,
111,60,29.414282245195107,-104.145724873825
112,60,23.907111912566936,-94.4150849979376
113,60,24.4989795705862,
114,60,24.095642759636025,
115,60,24.853571171966415,
116,60,25.296244780599352,-96.6799895970076
117,60,24.08318915758459,-94.69509149189726
118,60,25.826343140289914,-97.57799858946989
119,60,24.09771773425857,-94.71828729613058
120,70,24.437675830569486,
121,70,23.265854809140368,
122,70,25.037971163814372,
123,70,23.221757039466244,
124,70,24.59979674712781,
125,70,22.628521825342457,
126,70,24.69514122251582,
127,70,25.682678987987217,
128,70,22.69581459212249,
129,70,24.471411892246838,
130,70,22.515550182040855,
131,70,22.880122377295102,
132,70,23.528705871764387,
133,70,23.27230113246217,
134,70,24.526516263016237,
135,70,23.25188164428849,
136,70,24.014578905323326,
137,70,23.33452377915607,
138,70,23.561621336402126,
139,70,23.316303309058235,
140,80,24.968980756130197,
141,80,23.785499784532593,
142,80,22.47665455533808,
143,80,23.62519841186524,
144,80,26.601691675530713,
145,80,24.064496670406385,
146,80,23.874672772626646,
147,80,22.88667734731278,
148,80,22.358443595205816,
149,80,25.323901753086943,
150,80,24.19504081418339,
151,80,24.173332414046683,
152,80,24.50816190578151,
153,80,22.143847904101943,
154,80,25.02099118740103,
155,80,22.63073131827604,
156,80,22.50222211249369,
157,80,22.446603306513882,
158,80,22.451057881534226,
159,80,24.065535522817687,
160,90,23.179732526498228,
161,90,23.613555429032708,
162,90,24.259018941416407,
163,90,23.11493023999856,
164,90,22.311432047271193,
165,90,22.60088493842664,
166,90,24.99399927982715,
167,90,23.718136520392996,
168,90,22.314793299513216,
169,90,22.698017534577772,
170,90,25.12568407028951,
171,90,22.41874215918458,
172,90,22.90633100258529,
173,90,21.90091322296858,
174,90,23.49468024894146,
175,90,21.280272554645535,
176,90,23.101947969814148,
177,90,25.050948085850962,
178,90,22.276669409945463,
179,90,21.352985739703943,
180,100,22.239604313026796,
181,100,22.9597473853699,
182,100,22.427661492005804,
183,100,21.62290452275087,
184,100,21.97839848578599,
185,100,22.698017534577772,
186,100,24.719425559668654,
187,100,24.827404213892358,
188,100,23.719190542680835,
189,100,23.41900937272967,
190,100,21.472074888095936,
191,100,24.1805707128678,
192,100,21.73016336800071,
193,100,22.628521825342457,
194,100,22.5920339943087,
195,100,22.477766792989023,
196,100,24.278591392418136,
197,100,23.20344801963708,
198,100,22.537746116237976,
199,100,22.578751072634642,
