id,black_mean,black_variance,white_mean,white_variance,evidence
62,0.0,60235.272498719016,0.0,60235.272498719016,0.513080598766913
64,82.60626318289097,46236.83494266805,83.30811250678654,27960.212568827912,0.48576556752552735
72,0.0,40208.501875369104,0.0,40208.501875369104,0.5146343310284616
66,0.0,40208.501875369104,-27.77831044886632,18736.493983884196,0.5448476822795922
67,-104.51054100498187,9305.173136948077,211.68330317123718,19287.273516070105,0.8131576286755251
68,-232.88068603320167,31764.648742211175,0.0,40208.501875369104,0.2925211804879611
69,107.30757019806539,45316.266309323684,0.0,40208.501875369104,0.6156962897036635
70,0.0,40208.501875369104,0.0,60235.272498719016,0.48621136908373497
71,-213.7722556023992,40550.300254811904,0.0,40208.501875369104,0.3140102771612005
73,0.0,40208.501875369104,-98.92114320627799,24530.081590114452,0.6154107190451303
56,-104.51054100498185,9853.404895115682,83.30811250678653,23333.22888743749,0.6932551450317923
65,0.0,40208.501875369104,-1.1238213355995792,21935.280723871703,0.5167379616553708
55,254.16498986088254,31282.311619617263,-27.778310448866318,16974.476438053014,0.7902517515807568
44,254.16498986088254,31282.311619617263,0.0,40208.501875369104,0.7499756223779788
53,82.60626318289096,33918.74247196662,-104.51054100498185,9853.404895115682,0.28679182231245526
35,254.16498986088254,31282.311619617263,0.0,40208.501875369104,0.7499756223779788
36,0.0,40208.501875369104,83.30811250678653,23333.22888743749,0.5701798241747195
54,0.0,40208.501875369104,-1.1238213355995823,19253.52569204661,0.48309574869694116
38,107.30757019806539,34518.50419800187,0.0,40208.501875369104,0.6196020268458176
39,0.0,40208.501875369104,0.0,40208.501875369104,0.5146343310284616
40,-98.92114320627799,24530.081590114452,0.0,40208.501875369104,0.5856146317707244
41,0.0,40208.501875369104,103.69435551833601,24587.9995863786,0.5903778751845243
42,82.60626318289096,33918.74247196662,211.68330317123718,18656.350522154673,0.6207705513064103
43,-232.88068603320167,31764.648742211175,-1.1238213355995823,19253.52569204661,0.7209643107487891
37,0.0,40208.501875369104,-27.778310448866318,16974.476438053014,0.4548545615328832
45,0.0,40208.501875369104,83.30811250678653,23333.22888743749,0.5701798241747195
46,0.0,40208.501875369104,0.0,40208.501875369104,0.5146343310284616
47,0.0,40208.501875369104,0.0,40208.501875369104,0.5146343310284616
48,0.0,40208.501875369104,211.68330317123718,18656.350522154673,0.30280904653209817
49,-232.88068603320167,31764.648742211175,0.0,40208.501875369104,0.2925211804879611
50,107.30757019806539,34518.50419800187,0.0,40208.501875369104,0.6196020268458176
51,-213.7722556023992,33131.609452462144,-98.92114320627799,24530.081590114452,0.6041180190604893
52,-27.778310448866318,16974.476438053014,103.69435551833601,24587.9995863786,0.371236709270199
92,64.97412120536626,21902.58927628449,0.0,60235.272498719016,0.57710413245685
93,64.97412120536626,18745.268337224898,-104.42505471326268,25569.41484980152,0.6959324106380094
95,-104.42505471326268,22064.84290531384,-55.5871972646379,8678.44529549577,0.45994233526886097
96,213.74041144087022,14486.774137683944,0.0,60235.272498719016,0.7149531575502043
97,213.74041144087022,13491.396637087395,0.0,40879.90010869404,0.7290131639648543
98,242.75343743767027,20951.81929336625,58.98589563468483,16050.345650670139,0.7156594032796226
102,234.54044524731884,38962.14199439359,0.0,45197.561092823824,0.7261158395988433
100,-158.0421864857503,17511.283535301387,234.54044524731884,32491.48816531971,0.15542463013630614
101,234.54044524731884,32491.48816531971,-233.52371088419116,25562.060870671234,0.8941271610921453
91,64.97412120536626,18745.268337224898,-233.52371088419116,24494.42456827302,0.8073882182784624
103,-55.587197264637915,8184.604428915202,0.0,45197.561092823824,0.4565256182992795
104,-55.587197264637915,8184.604428915202,58.985895634684844,14699.443742724026,0.3791456501374782
105,58.985895634684844,14699.443742724026,-233.52371088419116,24494.42456827302,0.8068686892965217
99,242.75343743767027,18653.137823553236,0.0,45197.561092823824,0.7463552419518747
90,31.762148358268366,13036.055249406667,-87.06756378271736,17152.0417312892,0.6545574282325882
94,-104.42505471326268,22064.84290531384,-87.06756378271736,15344.209363473508,0.49729162531827953
