id,black_mean,black_variance,white_mean,white_variance,evidence
68,-221.1997024083496,31682.599992955915,0.0,40186.35411091027,0.28538176813661925
69,101.02658148731703,45459.28811663075,0.0,40186.35411091027,0.591331154702602
70,0.0,40186.354110910266,0.0,60235.272498719016,0.5045973538779249
71,-211.47367389442985,40705.138844520574,0.0,40186.35411091027,0.2990252633306523
73,0.0,40186.354110910266,-86.4836923882383,24277.140243751768,0.5832480059011808
56,-103.25875176151585,9556.15962927152,73.71938893754232,23040.581335280607,0.702999876566279
65,0.0,40186.354110910266,-0.41627912441245896,21791.43247634758,0.4952374171552714
55,250.6092699535257,30898.229658264314,-36.09973308138135,16670.21739069563,0.7789759114773264
44,250.6092699535257,30898.229658264314,0.0,40186.354110910266,0.731305175089141
53,80.79176237624245,33710.6843585592,-103.25875176151585,9556.15962927152,0.3084708233708412
35,250.6092699535257,30898.229658264314,0.0,40186.35411091027,0.731305175089141
36,0.0,40186.354110910266,73.71938893754232,23040.581335280607,0.5808188932293096
54,0.0,40186.35411091027,-0.4162791244124577,18805.407091684916,0.5048154732135925
38,101.02658148731703,33928.44023029472,0.0,40186.354110910266,0.5946788956896966
39,0.0,40186.35411091027,0.0,40186.35411091027,0.4951201649810926
40,-86.4836923882383,24277.140243751768,0.0,40186.354110910266,0.5932734461984825
41,0.0,40186.354110910266,90.29226231585496,24046.407872252723,0.5971532542207849
42,80.79176237624245,33710.6843585592,217.43994589029953,18447.261060339584,0.6488303042712344
43,-221.1997024083496,31682.599992955915,-0.4162791244124577,18805.407091684916,0.7294316824875234
37,0.0,40186.35411091027,-36.09973308138135,16670.21739069563,0.46710274455617284
45,0.0,40186.35411091027,73.71938893754232,23040.581335280607,0.5808188932293095
46,0.0,40186.354110910266,0.0,40186.354110910266,0.4951201649810926
47,0.0,40186.354110910266,0.0,40186.35411091027,0.4951201649810926
48,0.0,40186.354110910266,217.43994589029953,18447.261060339584,0.2796562035727621
49,-221.1997024083496,31682.599992955915,0.0,40186.35411091027,0.28538176813661925
50,101.02658148731703,33928.44023029472,0.0,40186.35411091027,0.5946788956896966
51,-211.47367389442985,33277.38587627851,-86.4836923882383,24277.140243751768,0.634435346874123
52,-36.09973308138135,16670.21739069563,90.29226231585496,24046.407872252723,0.35500184043643435
92,74.8649140506849,21957.9608959858,0.0,60235.272498719016,0.5674523714133544
93,74.8649140506849,18716.3216708432,-97.89649677830475,25556.816530453587,0.6797166550536649
95,-97.89649677830475,21880.470267110824,-56.298888358167225,8449.007889162733,0.4448179649703576
96,214.3633042484611,14309.670420326993,0.0,60235.272498719016,0.6986099309418679
97,214.3633042484611,13236.085262781891,0.0,40717.22550823922,0.7121052425107799
98,227.85902053795883,20742.591371578023,54.17708929799995,15760.363393268966,0.6863877360207566
102,245.23918621172126,39032.81086302978,0.0,44484.00607526111,0.7190392385651043
100,-153.10338599195592,17356.553035457637,245.23918621172126,32328.518519118446,0.1397565552223335
101,245.23918621172126,32328.518519118446,-226.43226984511873,25326.54799127334,0.8868206977774923
91,74.8649140506849,18716.3216708432,-226.43226984511873,24143.89920904407,0.7947638379071259
103,-56.29888835816721,7947.1736348477625,0.0,44484.00607526111,0.4342777224025123
104,-56.29888835816721,7947.1736348477625,54.17708929799994,14309.291543211371,0.3602444453805255
105,54.17708929799994,14309.291543211371,-226.43226984511873,24143.89920904407,0.782620609253324
99,227.85902053795883,18271.827828200272,0.0,44484.00607526111,0.7178045037414578
90,19.719709320328484,12887.099031872705,-73.91403622838006,16901.946290652668,0.6042553401779992
94,-97.89649677830475,21880.470267110824,-73.91403622838007,14972.066506803634,0.46666115812463277
88,19.719709320328466,11751.177895695166,227.85902053795883,18271.827828200272,0.2641501442478308
75,162.0316350506324,18015.532640544476,0.0,60235.272498719016,0.6503175043176742
76,162.0316350506324,16080.932322624136,245.23918621172126,32328.518519118446,0.40442074619409357
77,162.0316350506324,16080.932322624136,247.9288507756129,20653.213216336422,0.39656818062856997
78,0.0,60235.272498719016,54.17708929799994,14309.291543211371,0.44136795314419525
79,0.0,40567.908554376205,74.8649140506849,18716.3216708432,0.41684736550592344
80,0.0,40567.908554376205,19.719709320328466,11751.177895695166,0.4733744668424464
81,0.0,40567.908554376205,227.85902053795883,18271.827828200272,0.27077160247260323
74,162.0316350506324,16080.932322624136,214.3633042484611,13236.085262781891,0.4318907257108484
83,247.9288507756129,17832.65114690775,-56.29888835816721,7947.1736348477625,0.8147925579427054
84,247.9288507756129,17832.65114690775,-153.10338599195592,16617.232912557152,0.8702048359426307
89,19.719709320328466,11751.177895695166,0.0,40717.22550823922,0.5158534378426223
85,0.0,42735.31161707773,-73.91403622838007,14972.066506803634,0.5723176459790104
86,0.0,42735.31161707773,214.3633042484611,13236.085262781891,0.280429596975403
87,0.0,42735.31161707773,-153.10338599195592,16617.232912557152,0.6512542738608111
82,247.9288507756129,17832.65114690775,-97.89649677830475,21880.470267110824,0.8302828169451004
106,48.45285488735803,25059.875097514006,-164.46638536280403,13826.658808728911,0.7227278296657118
113,101.7403277828535,34096.833405677455,-43.58335450242819,25952.590840722987,0.3566522915619651
112,101.7403277828535,28462.640857334303,-41.60410078674578,11654.8608826162,0.6526391722434313
111,-43.58335450242819,22675.90137919113,106.99773460683068,10794.49028102629,0.6752828327666175
